Cluster_Name,JNDI_Name,Delivery_Mode,Bus_Name,Queue_Name,Connect_Queue_Name
DCPDC_ONLINE,jms/WTSToEAIDcQueue,Application,WTS.PDC.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.PDC.QUEUE
DCODC_ONLINE,jms/WTSToWPSQueue,Application,WTS.ODC.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCODC_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.ODC.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCODC_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.ODC.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCODC_ONLINE,jms/WTSToEAIBoQueue,Application,WTS.ODC.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.ODC.QUEUE
DCODC_ONLINE,jms/WTSToEAIDcQueue,Application,WTS.ODC.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.ODC.QUEUE
DCGRP_ONLINE,jms/WTSToWPSQueue,Application,WTS.GRP.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCGRP_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.GRP.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCGRP_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.GRP.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCGRP_ONLINE,jms/WTSToEAIBOQueue,Application,WTS.GRP.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.GRP.QUEUE
DCGRP_ONLINE,jms/WTSToEAIDCQueue,Application,WTS.GRP.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.GRP.QUEUE
DCMH_ONLINE,jms/WTSToWPSQueue,Application,WTS.MH.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCMH_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.MH.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCMH_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.MH.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCMH_ONLINE,jms/WTSToEAIBOMHQueue,Application,WTS.MH.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.MH.QUEUE
DCMH_ONLINE,jms/WTSToEAIDCMHQueue,Application,WTS.MH.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.MH.QUEUE
DCBDC_ONLINE,jms/WTSToWPSQueue,Application,WTS.BDC.BUS,WTSToWPSOnlineQueue,WAS.TO.WPS.QUEUE
DCBDC_ONLINE,jms/WTSToWPSDOSTQueue,Application,WTS.BDC.BUS,WTSToWPSDOSTOnlineQueue,WAS.TO.WPS.DOST.QUEUE
DCBDC_ONLINE,jms/WTSToWPSDOBOQueue,Application,WTS.BDC.BUS,WTSToWPSDOBOOnlineQueue,WAS.TO.WPS.DOBO.QUEUE
DCBDC_ONLINE,jms/WTSToEAIBoQueue,Application,WTS.BDC.BUS,WTSToEAIBoOnlineQueue,WTS.TO.IWTS.BO.BDC.QUEUE
DCBDC_ONLINE,jms/WTSToEAIDcQueue,Application,WTS.BDC.BUS,WTSToEAIDcOnlineQueue,WTS.TO.IWTS.DC.BDC.QUEUE
